MJD,CTR,STAT_ERR,CTR_NORM,Timestamp
60279.140283400775,1.0,0.0,0.0,2023-12-01 03:22:00.485826969
60279.14029497486,1.0,1.0,0.0,2023-12-01 03:22:01.485827923
60279.14030654893,1.3333333333333333,0.0,0.0016501650165016502,2023-12-01 03:22:02.485827446
60279.140318123,1.6666666666666665,0.0,0.0033003300330032995,2023-12-01 03:22:03.485826969
60279.14032969708,2.0,0.0,0.0049504950495049506,2023-12-01 03:22:04.485827923
60279.14034127115,2.333333333333333,0.0,0.0066006600660066,2023-12-01 03:22:05.485827446
60279.14035284522,2.6666666666666665,0.0,0.00825082508250825,2023-12-01 03:22:06.485827208
60279.1403644193,3.0,0.0,0.0099009900990099,2023-12-01 03:22:07.485827446
60279.140375993375,3.333333333333333,0.0,0.011551155115511549,2023-12-01 03:22:08.485827684
60279.140387567444,3.6666666666666665,0.0,0.013201320132013201,2023-12-01 03:22:09.485827208
60279.14039914152,4.0,2.0,0.01485148514851485,2023-12-01 03:22:10.485827446
60279.1404107156,3.5714285714285716,0.0,0.012729844413012729,2023-12-01 03:22:11.485827684
60279.14042228967,3.142857142857143,0.0,0.010608203677510607,2023-12-01 03:22:12.485827208
60279.140433863744,2.7142857142857144,0.0,0.008486562942008488,2023-12-01 03:22:13.485827446
60279.14044543782,2.2857142857142856,0.0,0.0063649222065063635,2023-12-01 03:22:14.485827684
60279.14045701189,1.8571428571428572,0.0,0.004243281471004243,2023-12-01 03:22:15.485827208
60279.14046858596,1.4285714285714288,0.0,0.002121640735502123,2023-12-01 03:22:16.485826969
60279.140480160044,1.0,1.0,0.0,2023-12-01 03:22:17.485827684
60279.14049173411,1.1111111111111112,0.0,0.0005500550055005504,2023-12-01 03:22:18.485827446
60279.14050330818,1.2222222222222223,0.0,0.0011001100110011007,2023-12-01 03:22:19.485826969
60279.14051488227,1.3333333333333333,0.0,0.0016501650165016502,2023-12-01 03:22:20.485827923
60279.14052645634,1.4444444444444444,0.0,0.0022002200220022005,2023-12-01 03:22:21.485827446
60279.140538030406,1.5555555555555556,0.0,0.00275027502750275,2023-12-01 03:22:22.485826969
60279.14054960448,1.6666666666666665,0.0,0.0033003300330032995,2023-12-01 03:22:23.485827208
60279.14056117856,1.7777777777777777,0.0,0.00385038503850385,2023-12-01 03:22:24.485827446
60279.14057275263,1.8888888888888888,0.0,0.0044004400440044,2023-12-01 03:22:25.485827208
60279.140584326706,2.0,1.4142135623730951,0.0049504950495049506,2023-12-01 03:22:26.485827446
60279.14059590078,2.2857142857142856,0.0,0.0063649222065063635,2023-12-01 03:22:27.485827684
60279.14060747485,2.571428571428571,0.0,0.007779349363507778,2023-12-01 03:22:28.485827208
60279.14061904893,2.857142857142857,0.0,0.009193776520509195,2023-12-01 03:22:29.485827446
60279.140630623006,3.142857142857143,0.0,0.010608203677510607,2023-12-01 03:22:30.485827684
60279.140642197075,3.4285714285714284,0.0,0.012022630834512021,2023-12-01 03:22:31.485827208
60279.140653771145,3.7142857142857144,0.0,0.013437057991513436,2023-12-01 03:22:32.485826969
60279.14066534523,4.0,2.0,0.01485148514851485,2023-12-01 03:22:33.485827684
60279.1406769193,3.823529411764706,0.0,0.0139778683750728,2023-12-01 03:22:34.485827446
60279.14068849337,3.6470588235294117,0.0,0.01310425160163075,2023-12-01 03:22:35.485826969
